wavelength (micron), reflectivity
6.350000000000000089e-01,1.435446730000000115e-01
6.360000000000000098e-01,1.427976689999999882e-01
6.370000000000000107e-01,1.418684020000000046e-01
6.380000000000000115e-01,1.407302739999999885e-01
6.390000000000000124e-01,1.394577899999999981e-01
6.400000000000000133e-01,1.380569520000000105e-01
6.410000000000000142e-01,1.365407439999999917e-01
6.420000000000000151e-01,1.349346810000000008e-01
6.430000000000000160e-01,1.333268280000000083e-01
6.440000000000000169e-01,1.317166180000000075e-01
6.450000000000000178e-01,1.301184880000000044e-01
6.460000000000000187e-01,1.285759790000000069e-01
6.470000000000000195e-01,1.270756030000000092e-01
6.480000000000000204e-01,1.256514850000000072e-01
6.490000000000000213e-01,1.243517529999999954e-01
6.500000000000000222e-01,1.232398999999999994e-01
6.510000000000000231e-01,1.222075329999999932e-01
6.520000000000000240e-01,1.212137479999999962e-01
6.530000000000000249e-01,1.202575540000000026e-01
6.540000000000000258e-01,1.193461200000000000e-01
6.550000000000000266e-01,1.184245899999999962e-01
6.560000000000000275e-01,1.174377129999999991e-01
6.570000000000000284e-01,1.163406200000000057e-01
6.580000000000000293e-01,1.151075559999999998e-01
6.590000000000000302e-01,1.137585789999999986e-01
6.600000000000000311e-01,1.123192179999999984e-01
6.610000000000000320e-01,1.107762959999999963e-01
6.620000000000000329e-01,1.092136400000000007e-01
6.630000000000000338e-01,1.076724270000000011e-01
6.640000000000000346e-01,1.061728029999999962e-01
6.650000000000000355e-01,1.047923340000000009e-01
6.660000000000000364e-01,1.035330500000000015e-01
6.670000000000000373e-01,1.023943850000000044e-01
6.680000000000000382e-01,1.013857449999999993e-01
6.690000000000000391e-01,1.006593290000000057e-01
6.700000000000000400e-01,1.001256580000000063e-01
6.710000000000000409e-01,9.971005099999999399e-02
6.720000000000000417e-01,9.959339600000000070e-02
6.730000000000000426e-01,9.972701600000000166e-02
6.740000000000000435e-01,1.000566690000000009e-01
6.750000000000000444e-01,1.005414379999999969e-01
6.760000000000000453e-01,1.012861530000000038e-01
6.770000000000000462e-01,1.022292380000000001e-01
6.780000000000000471e-01,1.033479610000000021e-01
6.790000000000000480e-01,1.046977099999999994e-01
6.800000000000000488e-01,1.063149220000000061e-01
6.810000000000000497e-01,1.082581519999999964e-01
6.820000000000000506e-01,1.105738970000000043e-01
6.830000000000000515e-01,1.132359309999999980e-01
6.840000000000000524e-01,1.163805879999999932e-01
6.850000000000000533e-01,1.200267990000000035e-01
6.860000000000000542e-01,1.241404549999999968e-01
6.870000000000000551e-01,1.288864439999999889e-01
6.879999999999999449e-01,1.341315680000000066e-01
6.889999999999999458e-01,1.398536969999999990e-01
6.899999999999999467e-01,1.461884430000000012e-01
6.909999999999999476e-01,1.528996179999999872e-01
6.919999999999999485e-01,1.600082660000000101e-01
6.929999999999999494e-01,1.675515140000000125e-01
6.939999999999999503e-01,1.754190680000000113e-01
6.949999999999999512e-01,1.835777759999999981e-01
6.959999999999999520e-01,1.920256170000000095e-01
6.969999999999999529e-01,2.007497209999999921e-01
6.979999999999999538e-01,2.096007159999999925e-01
6.989999999999999547e-01,2.185849689999999901e-01
6.999999999999999556e-01,2.276685179999999864e-01
7.009999999999999565e-01,2.367600509999999991e-01
7.019999999999999574e-01,2.457327589999999951e-01
7.029999999999999583e-01,2.546066960000000212e-01
7.039999999999999591e-01,2.634075570000000144e-01
7.049999999999999600e-01,2.720822680000000160e-01
7.059999999999999609e-01,2.805604979999999915e-01
7.069999999999999618e-01,2.888104919999999742e-01
7.079999999999999627e-01,2.968458190000000108e-01
7.089999999999999636e-01,3.046589270000000238e-01
7.099999999999999645e-01,3.121995419999999966e-01
7.109999999999999654e-01,3.195211199999999918e-01
7.119999999999999662e-01,3.267690109999999981e-01
7.129999999999999671e-01,3.336484350000000210e-01
7.139999999999999680e-01,3.402568289999999829e-01
7.149999999999999689e-01,3.466903319999999900e-01
7.159999999999999698e-01,3.528691420000000245e-01
7.169999999999999707e-01,3.588325880000000079e-01
7.179999999999999716e-01,3.645792359999999732e-01
7.189999999999999725e-01,3.701018719999999984e-01
7.199999999999999734e-01,3.754538769999999914e-01
7.209999999999999742e-01,3.805703240000000154e-01
7.219999999999999751e-01,3.854485790000000134e-01
7.229999999999999760e-01,3.901462019999999975e-01
7.239999999999999769e-01,3.946609070000000052e-01
7.249999999999999778e-01,3.989973529999999990e-01
7.259999999999999787e-01,4.031522770000000033e-01
7.269999999999999796e-01,4.071128800000000103e-01
7.279999999999999805e-01,4.109345839999999916e-01
7.289999999999999813e-01,4.145758820000000067e-01
7.299999999999999822e-01,4.180005929999999759e-01
7.309999999999999831e-01,4.213705859999999914e-01
7.319999999999999840e-01,4.245594919999999828e-01
7.329999999999999849e-01,4.275670369999999831e-01
7.339999999999999858e-01,4.304961400000000271e-01
7.349999999999999867e-01,4.332912320000000261e-01
7.359999999999999876e-01,4.359152900000000108e-01
7.369999999999999885e-01,4.383987240000000174e-01
7.379999999999999893e-01,4.408829080000000178e-01
